Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF,C_0805_2012Metric,20.608899,-54.071859,90.000000,top
C2,14pF,C_0402_1005Metric,25.550000,-24.356912,-90.000000,top
C3,14pF,C_0402_1005Metric,19.750000,-24.506912,90.000000,top
C4,22u,C_0805_2012Metric,20.600000,-50.000000,-90.000000,top
C5,10uF,C_0603_1608Metric,24.900000,-39.762471,180.000000,top
C6,100nF,C_0402_1005Metric,24.239597,-27.033813,180.000000,top
C7,100nF,C_0402_1005Metric,21.000000,-26.556912,180.000000,top
C8,100nF,C_0402_1005Metric,26.265811,-28.420361,0.000000,top
C9,100nF,C_0402_1005Metric,16.796525,-36.650780,135.000000,top
C10,100nF,C_0402_1005Metric,24.550000,-38.500000,180.000000,top
C11,10nF,C_0402_1005Metric,19.096893,-26.944440,180.000000,top
C12,1uF,C_0402_1005Metric,18.354142,-25.905871,180.000000,top
C13,1uF,C_0402_1005Metric,17.500000,-28.306912,90.000000,top
D1,LED,LED_0805_2012Metric,16.600000,-58.500000,90.000000,top
FB1,120,C_0201_0603Metric,18.312516,-28.222880,-90.000000,top
J1,Conn_01x10_Pin,PinHeader_1x10_P2.54mm_Vertical,30.000000,-19.000000,0.000000,top
J2,Conn_01x10_Pin,PinHeader_1x10_P2.54mm_Vertical,14.000000,-19.420000,0.000000,top
J3,USB_B_Micro,USB_Micro-B_Molex-105017-0001,22.000000,-59.300000,0.000000,top
R1,1k5,R_0402_1005Metric,14.296317,-59.852750,0.000000,top
R2,10k,R_0402_1005Metric,27.900000,-45.750000,90.000000,top
R3,1k5,R_0402_1005Metric,23.900000,-49.800000,180.000000,top
SW1,SW_SPDT,Switch !!!!,27.350000,-51.500000,90.000000,top
U1,AMS1117-3.3,SOT-223-3_TabPin2,16.000000,-52.000000,90.000000,top
U2,STM32F103C8T6,LQFP-48_7x7mm_P0.5mm,22.000000,-32.806912,-90.000000,top
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,22.650000,-24.306912,180.000000,top
