"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C4","2","22u","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C2,C3","2","12p","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C5","1","10u","","","","Capacitor_SMD:C_0603_1608Metric","~"
"C6,C8,C9,C10","4","100n","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C7","1","100nF","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C11","1","10n","","","","Capacitor_SMD:C_0402_1005Metric","~"
"C12,C13","2","1u","","","","Capacitor_SMD:C_0402_1005Metric","~"
"D1","1","LED","","","","LED_SMD:LED_0805_2012Metric","~"
"FB1","1","120","","","","Capacitor_SMD:C_0201_0603Metric","~"
"J1,J2","2","Conn_01x10_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical","~"
"J3","1","USB_B_Micro","","","","Connector_USB:USB_Micro-B_Molex-105017-0001","~"
"R1,R3","2","1k5","","","","Resistor_SMD:R_0402_1005Metric","~"
"R2,R4","2","10k","","","","Resistor_SMD:R_0402_1005Metric","~"
"R5,R6","2","10","","","","Resistor_SMD:R_0402_1005Metric","~"
"S1","1","Tactile Button, 160gf","","","","Custom Footprints:SW_Tactile_SPST_NO_Straight_CK_PTS636Sx25SMTRLFS","https://www.lcsc.com/datasheet/lcsc_datasheet_2304140030_XUNPU-TS-1088-AR02016_C720477.pdf"
"SW1","1","SW_SPDT","","","","Custom Footprints:Switch !!!!","~"
"U1","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"U2","1","STM32F103C8T6","","","","PCM_JLCPCB:LQFP-48_7x7mm_P0.5mm","https://www.st.com/resource/en/datasheet/stm32f103c8.pdf"
"Y1","1","16MHz","","","","Crystal:Crystal_SMD_3225-4Pin_3.2x2.5mm","https://www.mouser.de/ProductDetail/KYOCERA-AVX/CX3225FB16000C0FZZH1?qs=Tc%252BHE9vUsnsejykQ9yllKQ%3D%3D"
